Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_CONTINENT,SEXE
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,12,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,18,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,32,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,38,2,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,110,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,212,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,418,4,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,480,4,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,5,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,19,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,28,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,39,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,58,2,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,147,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,311,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,478,4,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,447,4,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,5,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,81,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,111,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,82,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,84,2,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,319,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,587,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,1058,4,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,1018,4,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,62,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,72,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,71,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,87,2,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,173,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,420,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,934,4,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,964,4,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,5,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,999,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,38,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,56,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,59,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,58,2,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,126,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,454,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,832,4,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,835,4,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,999,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,24,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,54,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,68,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,75,2,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,95,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,258,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,485,4,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,500,4,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,999,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,24,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,73,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,44,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,35,2,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,132,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,515,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,583,4,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,637,4,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,..,999,2
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,71,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,102,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,63,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,69,2,2
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,389,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,972,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,806,4,1
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,941,4,2
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,..,999,1
2015-01-01,1,Ciutat Vella,1,el Raval,4,1009,21,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,4,1009,40,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,4,1009,61,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,4,1009,71,2,2
2015-01-01,1,Ciutat Vella,1,el Raval,4,1009,211,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,4,1009,464,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,4,1009,683,4,1
2015-01-01,1,Ciutat Vella,1,el Raval,4,1009,623,4,2
2015-01-01,1,Ciutat Vella,1,el Raval,4,1009,..,999,1
2015-01-01,1,Ciutat Vella,1,el Raval,4,1010,36,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,4,1010,54,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,4,1010,66,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,4,1010,73,2,2
2015-01-01,1,Ciutat Vella,1,el Raval,4,1010,318,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,4,1010,663,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,4,1010,585,4,1
2015-01-01,1,Ciutat Vella,1,el Raval,4,1010,564,4,2
2015-01-01,1,Ciutat Vella,1,el Raval,5,1011,75,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,5,1011,107,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,5,1011,104,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,5,1011,92,2,2
2015-01-01,1,Ciutat Vella,1,el Raval,5,1011,374,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,5,1011,831,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,5,1011,887,4,1
2015-01-01,1,Ciutat Vella,1,el Raval,5,1011,907,4,2
2015-01-01,1,Ciutat Vella,1,el Raval,5,1011,..,5,2
2015-01-01,1,Ciutat Vella,1,el Raval,5,1012,25,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,5,1012,31,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,5,1012,60,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,5,1012,54,2,2
2015-01-01,1,Ciutat Vella,1,el Raval,5,1012,203,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,5,1012,290,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,5,1012,627,4,1
2015-01-01,1,Ciutat Vella,1,el Raval,5,1012,593,4,2
2015-01-01,1,Ciutat Vella,1,el Raval,5,1013,7,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,5,1013,15,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,5,1013,46,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,5,1013,34,2,2
2015-01-01,1,Ciutat Vella,1,el Raval,5,1013,132,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,5,1013,168,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,5,1013,509,4,1
2015-01-01,1,Ciutat Vella,1,el Raval,5,1013,445,4,2
2015-01-01,1,Ciutat Vella,1,el Raval,6,1014,29,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,6,1014,56,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,6,1014,35,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,6,1014,44,2,2
2015-01-01,1,Ciutat Vella,1,el Raval,6,1014,229,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,6,1014,334,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,6,1014,643,4,1
2015-01-01,1,Ciutat Vella,1,el Raval,6,1014,616,4,2
2015-01-01,1,Ciutat Vella,1,el Raval,6,1015,25,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,6,1015,33,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,6,1015,69,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,6,1015,73,2,2
2015-01-01,1,Ciutat Vella,1,el Raval,6,1015,307,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,6,1015,399,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,6,1015,727,4,1
2015-01-01,1,Ciutat Vella,1,el Raval,6,1015,669,4,2
2015-01-01,1,Ciutat Vella,1,el Raval,6,1015,..,999,2
2015-01-01,1,Ciutat Vella,1,el Raval,6,1016,12,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,6,1016,20,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,6,1016,46,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,6,1016,51,2,2
2015-01-01,1,Ciutat Vella,1,el Raval,6,1016,371,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,6,1016,447,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,6,1016,650,4,1
2015-01-01,1,Ciutat Vella,1,el Raval,6,1016,575,4,2
2015-01-01,1,Ciutat Vella,1,el Raval,6,1016,..,999,2
2015-01-01,1,Ciutat Vella,1,el Raval,6,1017,27,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,6,1017,39,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,6,1017,77,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,6,1017,74,2,2
2015-01-01,1,Ciutat Vella,1,el Raval,6,1017,392,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,6,1017,550,3,2
