Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NIV_EDUCA_esta,LLOC_NAIX
2025-01-01,1,Ciutat Vella,1,el Raval,67,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,11,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,138,1,3
2025-01-01,1,Ciutat Vella,1,el Raval,..,1,4
2025-01-01,1,Ciutat Vella,1,el Raval,69,1,5
2025-01-01,1,Ciutat Vella,1,el Raval,1559,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,239,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,1014,2,3
2025-01-01,1,Ciutat Vella,1,el Raval,171,2,4
2025-01-01,1,Ciutat Vella,1,el Raval,6378,2,5
2025-01-01,1,Ciutat Vella,1,el Raval,..,2,6
2025-01-01,1,Ciutat Vella,1,el Raval,2427,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,378,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,627,3,3
2025-01-01,1,Ciutat Vella,1,el Raval,392,3,4
2025-01-01,1,Ciutat Vella,1,el Raval,7939,3,5
2025-01-01,1,Ciutat Vella,1,el Raval,..,3,6
2025-01-01,1,Ciutat Vella,1,el Raval,1682,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,349,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,605,4,3
2025-01-01,1,Ciutat Vella,1,el Raval,898,4,4
2025-01-01,1,Ciutat Vella,1,el Raval,5995,4,5
2025-01-01,1,Ciutat Vella,1,el Raval,..,4,6
2025-01-01,1,Ciutat Vella,1,el Raval,1307,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,690,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,1112,5,3
2025-01-01,1,Ciutat Vella,1,el Raval,2297,5,4
2025-01-01,1,Ciutat Vella,1,el Raval,7091,5,5
2025-01-01,1,Ciutat Vella,1,el Raval,21,5,6
2025-01-01,1,Ciutat Vella,1,el Raval,33,6,1
