codi_barri,poblacio_total,pct_pob_estrangera,pct_pob_estrangera_occidental,pct_joves,pct_universitaris,import_euros,index_gini,total_incidents_1000_hab,locals_restauracio_1000_hab,locals_sanitaris_1000_hab,locals_serveis_professionals_1000_hab,preu_mitja_m2,pisos_turistics_1000_hab,cluster
1,47150,0.4804241781548251,0.095949098621421,0.3940402969247084,0.1849628844114528,8507.809523809523,36.33809523809524,14.294803817603391,11.537645811240722,0.1484623541887592,0.6998939554612937,11.1,3.817603393425239,0
2,15514,0.4194276137682093,0.2090369988397576,0.4281294314812428,0.3335696789996132,11447.444444444443,41.0875,40.28619311589532,33.3247389454686,0.25783163594173,0.3222895449271625,11.2,11.860255253319584,0
3,15037,0.312961361973798,0.1511604708385981,0.3732127419033051,0.2147369821107933,10818.818181818182,34.95454545454545,40.899115515062846,14.49757265411984,0.5320210148300858,0.3990157611225643,16.3,4.58868125290949,0
4,22468,0.3927363361224852,0.1946323660316895,0.4038187644650169,0.3233932704290546,11689.0,39.51538461538462,26.34858465372975,16.64589638597116,0.3560619547801317,0.9791703756453624,12.7,7.610824283425316,0
5,31548,0.1943387853429694,0.0764549258273107,0.2962152909851654,0.3139660200329656,15441.5,34.02,17.87751996957018,5.515405096995055,0.5071636870800051,1.7433751743375174,10.9,10.872321541777607,2
6,51094,0.1702548244412259,0.0560535483618428,0.2915019376051982,0.2990762124711316,15354.29411764706,34.04705882352941,10.9993345598309,6.987121775550945,0.7045837084589188,1.663600422750225,11.1,15.539985125455043,2
7,43558,0.1929151935350567,0.1043665916708756,0.2887184902888103,0.420726387804766,19841.55172413793,38.05862068965517,15.863905597134853,17.264337205564992,1.469305294090638,1.4233895036503057,11.3,0.0401074429496303,3
8,41662,0.1868609284239835,0.0838413902357064,0.303658009697086,0.3914118381258701,18175.53846153846,37.38076923076923,14.113580721040757,16.273822668138834,1.5121693629686526,1.4161586097642935,11.4,17.449954394892227,2
9,57664,0.164088512763596,0.0554592119866814,0.2936494173140954,0.3452067147613762,17153.725,34.802499999999995,9.936875693673697,7.058129855715872,0.9364594894561598,1.4393729189789122,11.3,7.422308546059933,2
10,38031,0.196155767663222,0.0716520733086166,0.2978359759143856,0.2931555836028503,15087.416666666666,35.3125,15.303305198390786,9.308195945412953,0.7362414872078041,1.6565433462175594,11.0,14.935184454786883,2
