codi_barri,poblacio_total,espanya,no_consta_x,resta_de_la_uni_europea,resta_del_mn,amrica_central,amrica_del_nord,amrica_del_sud,austrlia_i_nova_zelanda,carib,europa_meridional,europa_occidental,europa_oriental,europa_septentrional,no_consta_y,frica_central,frica_meridional,frica_occidental,frica_oriental,frica_septentrional,sia_central,sia_meridional,sia_occidental,sia_oriental,sia_sudoriental,estudis_superiors_espanya,estudis_superiors_ue,estudis_superiors_mon,estudis_inferiors_espanya,estudis_inferiors_ue,estudis_inferiors_mon,joves_espanya,joves_no_consta,joves_resta_de_la_uni_europea,joves_resta_del_mn,joves_total,pct_pob_estrangera,pct_pob_estrangera_occidental,pct_pob_espanyola,pct_joves,pct_universitaris
1,47150,24498,44,4347,18293,292,177,1862,12,305,26218,1309,883,851,12,19,8,173,8,1532,8,8742,321,346,4077,3192,1977,3552,5422,311,9513,4240,24,2787,11528,18579,0.4804241781548251,0.095949098621421,0.5195758218451749,0.3940402969247084,0.1849628844114528
2,15514,9007,20,3079,3422,182,164,772,24,76,10213,1070,400,670,8,10,8,105,8,364,17,874,117,220,220,1962,1485,1728,1695,152,1154,1845,12,1873,2912,6642,0.41942761376820936,0.20903699883975763,0.5805723862317906,0.4281294314812428,0.33356967899961326
3,15037,10331,4,2178,2527,87,95,734,17,71,11256,567,502,461,4,0,8,39,8,450,9,564,71,87,21,976,1080,1173,3160,93,831,2042,4,1422,2144,5612,0.312961361973798,0.15116047083859813,0.687038638026202,0.37321274190330517,0.21473698211079337
4,22468,13644,44,4146,4666,221,227,1121,41,213,15242,1414,509,943,12,8,5,158,4,815,8,655,130,449,299,2717,2172,2377,2751,103,1709,2789,20,2461,3803,9073,0.39273633612248526,0.1946323660316895,0.6072636638775147,0.4038187644650169,0.32339327042905464
5,31548,25417,36,2340,3778,261,72,1247,8,136,26389,825,460,338,13,9,4,81,8,190,12,265,85,1119,38,6784,1060,2061,3407,111,1062,4997,20,1163,3165,9345,0.19433878534296944,0.07645492582731077,0.8056612146570306,0.29621529098516547,0.31396602003296564
6,51094,42395,40,2761,5923,412,103,2541,9,265,43622,776,755,407,15,12,4,59,4,302,11,413,259,1052,79,10473,1354,3454,6726,125,1549,8207,25,1509,5153,14894,0.17025482444122597,0.05605354836184288,0.829745175558774,0.29150193760519827,0.29907621247113164
7,43558,35155,24,4245,4151,363,301,1496,37,125,36773,1753,501,730,10,15,8,29,9,168,17,178,166,812,74,12625,2231,3470,3079,81,775,6846,24,1939,3767,12576,0.1929151935350567,0.10436659167087561,0.8070848064649433,0.2887184902888103,0.42072638780476607
8,41662,33877,32,3270,4506,384,223,1755,15,117,35231,1144,579,593,9,8,8,24,8,143,9,216,146,747,318,11155,1785,3367,3404,75,940,6763,16,1704,4168,12651,0.1868609284239835,0.0838413902357064,0.8131390715760165,0.30365800969708606,0.3914118381258701
9,57664,48202,20,3041,6415,502,157,2552,12,232,49591,940,749,407,9,15,0,43,11,267,21,359,215,1265,321,14350,1457,4099,5889,127,1633,9782,20,1507,5624,16933,0.16408851276359604,0.05545921198668147,0.835911487236404,0.29364941731409544,0.34520671476137627
10,38031,30571,28,2599,4851,276,126,1480,13,205,31750,815,419,392,12,4,4,53,8,225,9,831,86,800,536,7393,1385,2371,4928,110,1714,5872,20,1508,3927,11327,0.19615576766322207,0.07165207330861666,0.8038442323367779,0.29783597591438565,0.2931555836028503
11,40222,28502,8,3157,8561,290,101,1668,15,588,29838,949,652,477,8,10,8,73,10,909,9,2872,141,529,1084,4183,1568,2332,6211,261,4178,5439,8,1888,6084,13419,0.2913828253194769,0.08100044751628462,0.7086171746805231,0.3336233901844762,0.20095967381035254
12,1122,1024,0,13,85,8,0,36,0,8,1028,4,10,4,0,0,0,4,0,10,0,4,8,20,0,33,4,16,429,7,40,290,0,8,58,356,0.08734402852049916,0.011586452762923352,0.9126559714795008,0.3172905525846702,0.04723707664884135
13,30237,26312,4,703,3228,189,12,1037,0,153,26512,105,502,45,4,12,4,70,8,365,8,408,62,407,345,2530,179,776,6632,189,1780,5011,12,330,2325,7678,0.1298078513080001,0.02364652577967391,0.8701921486919999,0.25392730760326754,0.11525614313589311
14,10371,8464,0,625,1282,58,21,463,0,48,8725,176,215,102,0,0,0,22,8,91,0,197,63,169,19,1678,271,575,1632,54,484,1691,0,339,1033,3063,0.18387812168546913,0.062289075306142125,0.8161218783145309,0.29534278275961817,0.2433709381930383
15,15758,12546,0,881,2331,109,38,795,8,82,12913,251,300,104,0,8,0,32,8,184,4,496,75,260,102,2533,388,821,2428,102,1007,2738,0,536,1807,5081,0.20383297372763043,0.05831958370351568,0.7961670262723696,0.3224393958624191,0.237466683589288
