codi_barri,poblacio_total,espanya,no_consta_x,resta_de_la_uni_europea,resta_del_mn,amrica_central,amrica_del_nord,amrica_del_sud,austrlia_i_nova_zelanda,carib,europa_meridional,europa_occidental,europa_oriental,europa_septentrional,melansia,micronsia,no_consta_y,frica_central,frica_meridional,frica_occidental,frica_oriental,frica_septentrional,sia_central,sia_meridional,sia_occidental,sia_oriental,sia_sudoriental,estudis_superiors_espanya,estudis_superiors_ue,estudis_superiors_mon,estudis_inferiors_espanya,estudis_inferiors_ue,estudis_inferiors_mon,joves_espanya,joves_no_consta,joves_resta_de_la_uni_europea,joves_resta_del_mn,joves_total,pct_pob_estrangera,pct_pob_estrangera_occidental,pct_pob_espanyola,pct_joves,pct_universitaris
1,45671,22396,56,4563,18693,470,297,2888,16,288,24622,1626,989,863,4,0,19,30,13,216,32,1708,31,7069,441,374,3678,3113,2094,5839,3064,171,6173,3253,29,2362,11771,17415,0.5096231744433011,0.10641326005561516,0.490376825556699,0.38131418186595434,0.2418602614350463
2,24460,8385,32,3281,12784,453,306,2203,32,135,9876,1235,758,785,0,0,12,16,8,303,9,1695,26,5808,308,167,328,1722,1483,3601,992,141,3719,1435,16,1667,9196,12314,0.6571954210956664,0.14664758789861,0.3428045789043336,0.5034341782502044,0.278250204415372
3,14274,8264,4,2619,3390,184,129,1248,21,72,9646,781,624,441,0,0,4,8,4,31,8,389,8,514,95,48,34,1010,1192,2155,1835,59,618,1465,4,1369,2992,5830,0.42104525711083085,0.1925178646490122,0.5789547428891691,0.40843491663163795,0.30524029704357575
4,22041,11764,16,4284,5989,313,390,1736,53,166,13853,1631,766,982,0,0,8,13,16,85,9,557,12,579,246,310,320,2569,2104,4282,1615,102,1074,2016,16,2189,5049,9270,0.46626741073454014,0.21205934394991152,0.5337325892654599,0.42057982850142916,0.40628828093099223
5,34403,23354,16,3445,7600,608,151,3088,14,121,25375,1029,746,419,0,0,8,13,11,70,9,395,15,776,250,1209,101,6988,1387,4628,2123,87,1211,3851,20,1270,6043,11184,0.321163851989652,0.10452576810161905,0.678836148010348,0.3250879283783391,0.37796122431183327
6,51712,38208,32,4323,9172,766,207,4272,10,239,40897,1116,1003,526,0,0,12,8,4,81,8,350,29,605,319,1124,147,11080,1751,6857,3990,91,1331,6461,20,1720,8208,16409,0.26113861386138615,0.08760055693069307,0.7388613861386139,0.31731512995049505,0.3807240099009901
7,44105,31090,24,5647,7359,480,736,2487,43,97,33792,2309,1055,1008,0,0,12,8,15,62,8,341,48,332,471,656,150,12286,2730,6937,1806,109,740,5558,24,2166,6490,14238,0.2950912594943884,0.14472282054188867,0.7049087405056116,0.32282054188867476,0.4977440199523864
8,42751,30600,44,4463,7674,596,424,3279,33,131,32969,1588,928,630,0,0,14,15,19,49,12,322,39,367,285,661,390,11555,2047,6640,2016,75,739,5686,21,1826,6926,14459,0.2842272695375547,0.11431311548267876,0.7157727304624453,0.3382143107763561,0.47348600032747773
9,57584,44518,48,4156,8895,613,233,4034,15,231,47032,1143,927,509,0,0,15,17,4,51,16,390,25,481,236,1224,391,15396,1788,7217,3574,97,1226,8019,28,1613,7838,17498,0.22690330647402057,0.07621908863573215,0.7730966935259794,0.3038691303139761,0.423746179494304
10,38269,28147,28,3279,6834,394,244,2244,20,179,30003,1050,555,527,0,0,12,11,10,54,10,303,16,811,169,785,878,8142,1549,4696,2951,58,1335,4863,20,1338,5704,11925,0.2644960673129687,0.09205884658600956,0.7355039326870313,0.3116099192557945,0.37594397554156106
