codi_barri,total_incidents,locals_restauracio,locals_sanitaris,locals_serveis_professionals
1,748,500,8,10
2,700,440,6,2
3,651,177,15,5
4,676,387,13,2
5,638,200,23,33
6,662,396,58,44
7,736,912,105,55
8,677,708,109,52
9,660,406,98,79
10,664,405,51,40
11,733,279,17,38
12,534,11,0,21
13,572,105,30,11
14,427,34,4,8
15,552,152,28,16
16,512,65,11,20
17,510,105,25,20
18,633,266,55,42
19,623,340,109,43
20,591,117,36,17
21,506,45,7,3
22,416,11,3,1
23,585,88,57,19
24,474,53,90,4
25,583,144,96,19
26,670,425,135,34
27,547,126,53,17
28,568,42,22,19
29,327,7,2,3
30,486,43,17,10
31,677,501,101,45
32,564,134,59,55
33,517,97,23,44
34,396,19,1,8
35,576,119,29,47
36,415,11,4,3
37,560,76,17,24
38,425,24,4,6
39,413,14,6,6
40,388,15,9,2
41,420,12,3,3
42,215,1,0,0
43,584,107,26,24
44,543,115,32,51
45,543,104,22,38
46,451,52,13,6
47,274,1,2,0
48,487,51,15,9
49,366,19,2,7
50,457,45,7,11
51,460,48,8,12
52,541,119,26,36
53,418,13,3,0
54,322,3,3,0
55,440,17,4,3
56,247,3,0,2
57,460,27,3,7
58,283,9,2,0
59,582,102,5,54
60,669,232,92,63
61,572,106,26,19
62,448,83,21,26
63,493,92,16,32
64,569,190,44,52
65,552,138,18,30
66,615,172,11,27
67,525,92,15,7
68,615,270,46,41
69,550,123,11,5
70,569,82,13,8
71,541,90,19,29
72,539,100,27,23
73,554,105,22,53
