Codi_Districte,Codi_Barri,Valor_2015,Valor_2025,delta_poblacio
1,1,47150,49917,0.05868504772004242
1,2,15514,27878,0.7969575866958876
1,3,15037,14749,-0.019152756533883087
1,4,22468,22767,0.013307815559907423
2,5,31548,36621,0.16080258653480412
2,6,51094,53555,0.04816612518103887
2,7,43558,45667,0.048418201019330545
2,8,41662,44021,0.05662234170227065
2,9,57664,59122,0.025284406215316316
2,10,38031,39223,0.03134285188398938
3,11,40222,40300,0.0019392372333548805
3,12,1122,2876,1.5632798573975044
3,13,30237,31647,0.0466316102787975
3,14,10371,10860,0.04715070870697136
3,15,15758,16798,0.06599822312476203
3,16,18384,21242,0.15546127067014795
3,17,24016,25338,0.05504663557628248
3,18,40703,47239,0.16057784438493478
4,19,46003,47057,0.022911549246788253
4,20,23810,24687,0.03683326333473331
4,21,11716,12649,0.0796346876066917
5,22,4604,4962,0.07775847089487402
5,23,24640,25282,0.026055194805194803
5,24,16501,16376,-0.0075752984667595905
5,25,25368,26836,0.05786818038473668
5,26,46711,49461,0.05887264241827407
5,27,29024,30756,0.059674751929437705
6,28,15520,16919,0.09014175257731959
6,29,7351,8091,0.10066657597605767
6,30,13220,14017,0.060287443267776096
6,31,50441,51833,0.02759659800559069
6,32,33913,36743,0.08344882493439094
7,33,25474,26536,0.041689565831828534
7,34,8824,9672,0.09610154125113328
7,35,35784,39061,0.09157724122512854
7,36,9399,9952,0.05883604638791361
7,37,31449,33694,0.07138541766033896
7,38,11360,12605,0.10959507042253522
7,39,6721,7826,0.1644100580270793
7,40,5041,5343,0.059908748264233286
7,41,5467,5990,0.09566489848179989
7,42,542,1071,0.9760147601476015
7,43,26469,31259,0.18096641354036797
8,44,25444,26547,0.04335010218519101
8,45,24299,31363,0.2907115519157167
8,46,15328,17456,0.13883089770354906
8,47,2275,2170,-0.046153846153846156
8,48,15097,15656,0.0370272239517785
8,49,6952,6817,-0.019418872266973534
8,50,15400,17321,0.12474025974025973
8,51,12226,13511,0.10510387698347784
8,52,25974,27922,0.074998074998075
8,53,7335,7965,0.08588957055214724
8,54,2734,3224,0.17922457937088515
8,55,10239,11351,0.10860435589413028
8,56,1334,1452,0.08845577211394302
9,57,10068,11160,0.10846245530393325
9,58,2482,2678,0.0789685737308622
9,59,12560,15918,0.2673566878980892
9,60,56491,58988,0.04420173124922554
9,61,28899,30965,0.07149036298833869
9,62,14046,15175,0.08037875551758508
9,63,21966,22790,0.037512519348083403
10,64,38168,39804,0.04286313141898973
10,65,26932,27103,0.006349324223971484
10,66,14713,17603,0.19642493033371847
10,67,9331,9345,0.0015003750937734434
10,68,33437,34818,0.04130155217274277
10,69,13374,13691,0.02370270674442949
10,70,22844,30724,0.3449483452985467
10,71,20163,21902,0.08624708624708624
10,72,25971,26976,0.03869700820145547
10,73,28727,31173,0.08514637797194277
