Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,LLOC_NAIX,EDAT_Q,SEXE
2015-01-01,1,Ciutat Vella,1,el Raval,952,1,0,1
2015-01-01,1,Ciutat Vella,1,el Raval,980,1,0,2
2015-01-01,1,Ciutat Vella,1,el Raval,681,1,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,753,1,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,454,1,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,489,1,2,2
2015-01-01,1,Ciutat Vella,1,el Raval,322,1,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,338,1,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,294,1,4,1
2015-01-01,1,Ciutat Vella,1,el Raval,309,1,4,2
2015-01-01,1,Ciutat Vella,1,el Raval,256,1,5,1
2015-01-01,1,Ciutat Vella,1,el Raval,323,1,5,2
2015-01-01,1,Ciutat Vella,1,el Raval,274,1,6,1
2015-01-01,1,Ciutat Vella,1,el Raval,330,1,6,2
2015-01-01,1,Ciutat Vella,1,el Raval,344,1,7,1
2015-01-01,1,Ciutat Vella,1,el Raval,426,1,7,2
2015-01-01,1,Ciutat Vella,1,el Raval,399,1,8,1
2015-01-01,1,Ciutat Vella,1,el Raval,432,1,8,2
2015-01-01,1,Ciutat Vella,1,el Raval,383,1,9,1
2015-01-01,1,Ciutat Vella,1,el Raval,451,1,9,2
2015-01-01,1,Ciutat Vella,1,el Raval,336,1,10,1
2015-01-01,1,Ciutat Vella,1,el Raval,410,1,10,2
2015-01-01,1,Ciutat Vella,1,el Raval,305,1,11,1
2015-01-01,1,Ciutat Vella,1,el Raval,325,1,11,2
2015-01-01,1,Ciutat Vella,1,el Raval,223,1,12,1
2015-01-01,1,Ciutat Vella,1,el Raval,232,1,12,2
2015-01-01,1,Ciutat Vella,1,el Raval,238,1,13,1
2015-01-01,1,Ciutat Vella,1,el Raval,223,1,13,2
2015-01-01,1,Ciutat Vella,1,el Raval,214,1,14,1
2015-01-01,1,Ciutat Vella,1,el Raval,186,1,14,2
2015-01-01,1,Ciutat Vella,1,el Raval,223,1,15,1
2015-01-01,1,Ciutat Vella,1,el Raval,160,1,15,2
2015-01-01,1,Ciutat Vella,1,el Raval,269,1,16,1
2015-01-01,1,Ciutat Vella,1,el Raval,114,1,16,2
2015-01-01,1,Ciutat Vella,1,el Raval,217,1,17,1
2015-01-01,1,Ciutat Vella,1,el Raval,85,1,17,2
2015-01-01,1,Ciutat Vella,1,el Raval,103,1,18,1
2015-01-01,1,Ciutat Vella,1,el Raval,32,1,18,2
2015-01-01,1,Ciutat Vella,1,el Raval,18,1,19,1
2015-01-01,1,Ciutat Vella,1,el Raval,..,1,19,2
2015-01-01,1,Ciutat Vella,1,el Raval,..,1,20,1
2015-01-01,1,Ciutat Vella,1,el Raval,57,2,0,1
2015-01-01,1,Ciutat Vella,1,el Raval,48,2,0,2
2015-01-01,1,Ciutat Vella,1,el Raval,69,2,1,1
2015-01-01,1,Ciutat Vella,1,el Raval,78,2,1,2
2015-01-01,1,Ciutat Vella,1,el Raval,30,2,2,1
2015-01-01,1,Ciutat Vella,1,el Raval,35,2,2,2
2015-01-01,1,Ciutat Vella,1,el Raval,18,2,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,20,2,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,27,2,4,1
2015-01-01,1,Ciutat Vella,1,el Raval,23,2,4,2
2015-01-01,1,Ciutat Vella,1,el Raval,74,2,5,1
2015-01-01,1,Ciutat Vella,1,el Raval,57,2,5,2
2015-01-01,1,Ciutat Vella,1,el Raval,85,2,6,1
2015-01-01,1,Ciutat Vella,1,el Raval,92,2,6,2
2015-01-01,1,Ciutat Vella,1,el Raval,92,2,7,1
2015-01-01,1,Ciutat Vella,1,el Raval,116,2,7,2
2015-01-01,1,Ciutat Vella,1,el Raval,89,2,8,1
2015-01-01,1,Ciutat Vella,1,el Raval,111,2,8,2
2015-01-01,1,Ciutat Vella,1,el Raval,83,2,9,1
2015-01-01,1,Ciutat Vella,1,el Raval,78,2,9,2
2015-01-01,1,Ciutat Vella,1,el Raval,64,2,10,1
2015-01-01,1,Ciutat Vella,1,el Raval,71,2,10,2
2015-01-01,1,Ciutat Vella,1,el Raval,57,2,11,1
2015-01-01,1,Ciutat Vella,1,el Raval,57,2,11,2
