Codi_Incident,Descripcio_Incident,Codi_districte,Nom_districte,Codi_barri,Nom_barri,NK_Any,Mes_any,Nom_mes,Numero_incidents_GUB
000,INCENDIS,,,,,2025,1,gener,2
000,INCENDIS,,,,,2025,2,febrer,8
000,INCENDIS,,,,,2025,3,març,1
000,INCENDIS,,,,,2025,4,abril,4
000,INCENDIS,,,,,2025,5,maig,3
000,INCENDIS,,,,,2025,6,juny,12
000,INCENDIS,,,,,2025,7,juliol,3
000,INCENDIS,,,,,2025,8,agost,5
000,INCENDIS,,,,,2025,9,setembre,3
000,INCENDIS,,,,,2025,11,novembre,3
000,INCENDIS,,,,,2025,12,desembre,3
000,INCENDIS,01,Ciutat Vella,01,el Raval,2025,1,gener,22
000,INCENDIS,01,Ciutat Vella,01,el Raval,2025,2,febrer,22
000,INCENDIS,01,Ciutat Vella,01,el Raval,2025,3,març,20
000,INCENDIS,01,Ciutat Vella,01,el Raval,2025,4,abril,25
000,INCENDIS,01,Ciutat Vella,01,el Raval,2025,5,maig,25
000,INCENDIS,01,Ciutat Vella,01,el Raval,2025,6,juny,27
000,INCENDIS,01,Ciutat Vella,01,el Raval,2025,7,juliol,31
000,INCENDIS,01,Ciutat Vella,01,el Raval,2025,8,agost,32
000,INCENDIS,01,Ciutat Vella,01,el Raval,2025,9,setembre,29
000,INCENDIS,01,Ciutat Vella,01,el Raval,2025,10,octubre,25
000,INCENDIS,01,Ciutat Vella,01,el Raval,2025,11,novembre,31
000,INCENDIS,01,Ciutat Vella,01,el Raval,2025,12,desembre,22
000,INCENDIS,01,Ciutat Vella,02,el Barri Gòtic,2025,1,gener,15
000,INCENDIS,01,Ciutat Vella,02,el Barri Gòtic,2025,2,febrer,9
000,INCENDIS,01,Ciutat Vella,02,el Barri Gòtic,2025,3,març,16
000,INCENDIS,01,Ciutat Vella,02,el Barri Gòtic,2025,4,abril,11
000,INCENDIS,01,Ciutat Vella,02,el Barri Gòtic,2025,5,maig,16
000,INCENDIS,01,Ciutat Vella,02,el Barri Gòtic,2025,6,juny,13
000,INCENDIS,01,Ciutat Vella,02,el Barri Gòtic,2025,7,juliol,8
000,INCENDIS,01,Ciutat Vella,02,el Barri Gòtic,2025,8,agost,13
000,INCENDIS,01,Ciutat Vella,02,el Barri Gòtic,2025,9,setembre,8
000,INCENDIS,01,Ciutat Vella,02,el Barri Gòtic,2025,10,octubre,6
000,INCENDIS,01,Ciutat Vella,02,el Barri Gòtic,2025,11,novembre,8
000,INCENDIS,01,Ciutat Vella,02,el Barri Gòtic,2025,12,desembre,14
000,INCENDIS,01,Ciutat Vella,03,la Barceloneta,2025,1,gener,7
000,INCENDIS,01,Ciutat Vella,03,la Barceloneta,2025,2,febrer,4
000,INCENDIS,01,Ciutat Vella,03,la Barceloneta,2025,3,març,9
000,INCENDIS,01,Ciutat Vella,03,la Barceloneta,2025,4,abril,7
000,INCENDIS,01,Ciutat Vella,03,la Barceloneta,2025,5,maig,6
000,INCENDIS,01,Ciutat Vella,03,la Barceloneta,2025,6,juny,11
000,INCENDIS,01,Ciutat Vella,03,la Barceloneta,2025,7,juliol,12
000,INCENDIS,01,Ciutat Vella,03,la Barceloneta,2025,8,agost,6
000,INCENDIS,01,Ciutat Vella,03,la Barceloneta,2025,9,setembre,6
000,INCENDIS,01,Ciutat Vella,03,la Barceloneta,2025,10,octubre,8
000,INCENDIS,01,Ciutat Vella,03,la Barceloneta,2025,11,novembre,12
000,INCENDIS,01,Ciutat Vella,03,la Barceloneta,2025,12,desembre,3
000,INCENDIS,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",2025,1,gener,5
000,INCENDIS,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",2025,2,febrer,6
000,INCENDIS,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",2025,3,març,6
000,INCENDIS,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",2025,4,abril,7
000,INCENDIS,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",2025,5,maig,15
000,INCENDIS,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",2025,6,juny,7
000,INCENDIS,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",2025,7,juliol,12
000,INCENDIS,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",2025,8,agost,6
000,INCENDIS,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",2025,9,setembre,13
000,INCENDIS,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",2025,10,octubre,3
000,INCENDIS,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",2025,11,novembre,10
000,INCENDIS,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",2025,12,desembre,11
000,INCENDIS,02,Eixample,05,el Fort Pienc,2025,1,gener,11
000,INCENDIS,02,Eixample,05,el Fort Pienc,2025,2,febrer,14
000,INCENDIS,02,Eixample,05,el Fort Pienc,2025,3,març,17
000,INCENDIS,02,Eixample,05,el Fort Pienc,2025,4,abril,8
000,INCENDIS,02,Eixample,05,el Fort Pienc,2025,5,maig,8
000,INCENDIS,02,Eixample,05,el Fort Pienc,2025,6,juny,16
000,INCENDIS,02,Eixample,05,el Fort Pienc,2025,7,juliol,12
000,INCENDIS,02,Eixample,05,el Fort Pienc,2025,8,agost,5
000,INCENDIS,02,Eixample,05,el Fort Pienc,2025,9,setembre,9
000,INCENDIS,02,Eixample,05,el Fort Pienc,2025,10,octubre,9
000,INCENDIS,02,Eixample,05,el Fort Pienc,2025,11,novembre,10
000,INCENDIS,02,Eixample,05,el Fort Pienc,2025,12,desembre,3
000,INCENDIS,02,Eixample,06,la Sagrada Família,2025,1,gener,13
000,INCENDIS,02,Eixample,06,la Sagrada Família,2025,2,febrer,8
000,INCENDIS,02,Eixample,06,la Sagrada Família,2025,3,març,10
000,INCENDIS,02,Eixample,06,la Sagrada Família,2025,4,abril,20
000,INCENDIS,02,Eixample,06,la Sagrada Família,2025,5,maig,6
000,INCENDIS,02,Eixample,06,la Sagrada Família,2025,6,juny,17
000,INCENDIS,02,Eixample,06,la Sagrada Família,2025,7,juliol,21
000,INCENDIS,02,Eixample,06,la Sagrada Família,2025,8,agost,11
000,INCENDIS,02,Eixample,06,la Sagrada Família,2025,9,setembre,15
000,INCENDIS,02,Eixample,06,la Sagrada Família,2025,10,octubre,6
000,INCENDIS,02,Eixample,06,la Sagrada Família,2025,11,novembre,15
000,INCENDIS,02,Eixample,06,la Sagrada Família,2025,12,desembre,9
000,INCENDIS,02,Eixample,07,la Dreta de l'Eixample,2025,1,gener,38
000,INCENDIS,02,Eixample,07,la Dreta de l'Eixample,2025,2,febrer,20
000,INCENDIS,02,Eixample,07,la Dreta de l'Eixample,2025,3,març,34
000,INCENDIS,02,Eixample,07,la Dreta de l'Eixample,2025,4,abril,31
000,INCENDIS,02,Eixample,07,la Dreta de l'Eixample,2025,5,maig,24
000,INCENDIS,02,Eixample,07,la Dreta de l'Eixample,2025,6,juny,31
000,INCENDIS,02,Eixample,07,la Dreta de l'Eixample,2025,7,juliol,40
000,INCENDIS,02,Eixample,07,la Dreta de l'Eixample,2025,8,agost,19
000,INCENDIS,02,Eixample,07,la Dreta de l'Eixample,2025,9,setembre,15
000,INCENDIS,02,Eixample,07,la Dreta de l'Eixample,2025,10,octubre,17
000,INCENDIS,02,Eixample,07,la Dreta de l'Eixample,2025,11,novembre,16
000,INCENDIS,02,Eixample,07,la Dreta de l'Eixample,2025,12,desembre,18
000,INCENDIS,02,Eixample,08,l'Antiga Esquerra de l'Eixample,2025,1,gener,19
000,INCENDIS,02,Eixample,08,l'Antiga Esquerra de l'Eixample,2025,2,febrer,8
000,INCENDIS,02,Eixample,08,l'Antiga Esquerra de l'Eixample,2025,3,març,18
000,INCENDIS,02,Eixample,08,l'Antiga Esquerra de l'Eixample,2025,4,abril,10
000,INCENDIS,02,Eixample,08,l'Antiga Esquerra de l'Eixample,2025,5,maig,13
000,INCENDIS,02,Eixample,08,l'Antiga Esquerra de l'Eixample,2025,6,juny,24
000,INCENDIS,02,Eixample,08,l'Antiga Esquerra de l'Eixample,2025,7,juliol,15
000,INCENDIS,02,Eixample,08,l'Antiga Esquerra de l'Eixample,2025,8,agost,16
000,INCENDIS,02,Eixample,08,l'Antiga Esquerra de l'Eixample,2025,9,setembre,16
000,INCENDIS,02,Eixample,08,l'Antiga Esquerra de l'Eixample,2025,10,octubre,24
000,INCENDIS,02,Eixample,08,l'Antiga Esquerra de l'Eixample,2025,11,novembre,13
000,INCENDIS,02,Eixample,08,l'Antiga Esquerra de l'Eixample,2025,12,desembre,12
000,INCENDIS,02,Eixample,09,la Nova Esquerra de l'Eixample,2025,1,gener,27
000,INCENDIS,02,Eixample,09,la Nova Esquerra de l'Eixample,2025,2,febrer,20
000,INCENDIS,02,Eixample,09,la Nova Esquerra de l'Eixample,2025,3,març,18
000,INCENDIS,02,Eixample,09,la Nova Esquerra de l'Eixample,2025,4,abril,16
000,INCENDIS,02,Eixample,09,la Nova Esquerra de l'Eixample,2025,5,maig,15
000,INCENDIS,02,Eixample,09,la Nova Esquerra de l'Eixample,2025,6,juny,33
000,INCENDIS,02,Eixample,09,la Nova Esquerra de l'Eixample,2025,7,juliol,12
000,INCENDIS,02,Eixample,09,la Nova Esquerra de l'Eixample,2025,8,agost,20
000,INCENDIS,02,Eixample,09,la Nova Esquerra de l'Eixample,2025,9,setembre,10
000,INCENDIS,02,Eixample,09,la Nova Esquerra de l'Eixample,2025,10,octubre,17
000,INCENDIS,02,Eixample,09,la Nova Esquerra de l'Eixample,2025,11,novembre,19
000,INCENDIS,02,Eixample,09,la Nova Esquerra de l'Eixample,2025,12,desembre,8
000,INCENDIS,02,Eixample,10,Sant Antoni,2025,1,gener,20
000,INCENDIS,02,Eixample,10,Sant Antoni,2025,2,febrer,19
000,INCENDIS,02,Eixample,10,Sant Antoni,2025,3,març,9
000,INCENDIS,02,Eixample,10,Sant Antoni,2025,4,abril,18
000,INCENDIS,02,Eixample,10,Sant Antoni,2025,5,maig,17
000,INCENDIS,02,Eixample,10,Sant Antoni,2025,6,juny,32
000,INCENDIS,02,Eixample,10,Sant Antoni,2025,7,juliol,28
000,INCENDIS,02,Eixample,10,Sant Antoni,2025,8,agost,21
000,INCENDIS,02,Eixample,10,Sant Antoni,2025,9,setembre,19
000,INCENDIS,02,Eixample,10,Sant Antoni,2025,10,octubre,25
000,INCENDIS,02,Eixample,10,Sant Antoni,2025,11,novembre,42
000,INCENDIS,02,Eixample,10,Sant Antoni,2025,12,desembre,26
000,INCENDIS,03,Sants-Montjuïc,11,el Poble Sec,2025,1,gener,18
000,INCENDIS,03,Sants-Montjuïc,11,el Poble Sec,2025,2,febrer,23
000,INCENDIS,03,Sants-Montjuïc,11,el Poble Sec,2025,3,març,15
000,INCENDIS,03,Sants-Montjuïc,11,el Poble Sec,2025,4,abril,18
000,INCENDIS,03,Sants-Montjuïc,11,el Poble Sec,2025,5,maig,19
000,INCENDIS,03,Sants-Montjuïc,11,el Poble Sec,2025,6,juny,33
000,INCENDIS,03,Sants-Montjuïc,11,el Poble Sec,2025,7,juliol,30
000,INCENDIS,03,Sants-Montjuïc,11,el Poble Sec,2025,8,agost,30
000,INCENDIS,03,Sants-Montjuïc,11,el Poble Sec,2025,9,setembre,17
000,INCENDIS,03,Sants-Montjuïc,11,el Poble Sec,2025,10,octubre,22
000,INCENDIS,03,Sants-Montjuïc,11,el Poble Sec,2025,11,novembre,20
000,INCENDIS,03,Sants-Montjuïc,11,el Poble Sec,2025,12,desembre,27
000,INCENDIS,03,Sants-Montjuïc,12,la Marina del Prat Vermell,2025,1,gener,8
000,INCENDIS,03,Sants-Montjuïc,12,la Marina del Prat Vermell,2025,2,febrer,8
000,INCENDIS,03,Sants-Montjuïc,12,la Marina del Prat Vermell,2025,3,març,10
000,INCENDIS,03,Sants-Montjuïc,12,la Marina del Prat Vermell,2025,4,abril,10
000,INCENDIS,03,Sants-Montjuïc,12,la Marina del Prat Vermell,2025,5,maig,13
000,INCENDIS,03,Sants-Montjuïc,12,la Marina del Prat Vermell,2025,6,juny,19
000,INCENDIS,03,Sants-Montjuïc,12,la Marina del Prat Vermell,2025,7,juliol,17
000,INCENDIS,03,Sants-Montjuïc,12,la Marina del Prat Vermell,2025,8,agost,8
000,INCENDIS,03,Sants-Montjuïc,12,la Marina del Prat Vermell,2025,9,setembre,4
000,INCENDIS,03,Sants-Montjuïc,12,la Marina del Prat Vermell,2025,10,octubre,6
000,INCENDIS,03,Sants-Montjuïc,12,la Marina del Prat Vermell,2025,11,novembre,7
000,INCENDIS,03,Sants-Montjuïc,12,la Marina del Prat Vermell,2025,12,desembre,14
000,INCENDIS,03,Sants-Montjuïc,13,la Marina de Port,2025,1,gener,9
000,INCENDIS,03,Sants-Montjuïc,13,la Marina de Port,2025,2,febrer,6
000,INCENDIS,03,Sants-Montjuïc,13,la Marina de Port,2025,3,març,9
000,INCENDIS,03,Sants-Montjuïc,13,la Marina de Port,2025,4,abril,6
000,INCENDIS,03,Sants-Montjuïc,13,la Marina de Port,2025,5,maig,5
000,INCENDIS,03,Sants-Montjuïc,13,la Marina de Port,2025,6,juny,23
000,INCENDIS,03,Sants-Montjuïc,13,la Marina de Port,2025,7,juliol,3
000,INCENDIS,03,Sants-Montjuïc,13,la Marina de Port,2025,8,agost,7
000,INCENDIS,03,Sants-Montjuïc,13,la Marina de Port,2025,9,setembre,7
000,INCENDIS,03,Sants-Montjuïc,13,la Marina de Port,2025,10,octubre,12
000,INCENDIS,03,Sants-Montjuïc,13,la Marina de Port,2025,11,novembre,6
000,INCENDIS,03,Sants-Montjuïc,13,la Marina de Port,2025,12,desembre,4
000,INCENDIS,03,Sants-Montjuïc,14,la Font de la Guatlla,2025,1,gener,1
000,INCENDIS,03,Sants-Montjuïc,14,la Font de la Guatlla,2025,2,febrer,2
000,INCENDIS,03,Sants-Montjuïc,14,la Font de la Guatlla,2025,3,març,3
000,INCENDIS,03,Sants-Montjuïc,14,la Font de la Guatlla,2025,5,maig,3
000,INCENDIS,03,Sants-Montjuïc,14,la Font de la Guatlla,2025,6,juny,1
000,INCENDIS,03,Sants-Montjuïc,14,la Font de la Guatlla,2025,7,juliol,3
000,INCENDIS,03,Sants-Montjuïc,14,la Font de la Guatlla,2025,8,agost,1
000,INCENDIS,03,Sants-Montjuïc,14,la Font de la Guatlla,2025,9,setembre,4
000,INCENDIS,03,Sants-Montjuïc,14,la Font de la Guatlla,2025,10,octubre,2
000,INCENDIS,03,Sants-Montjuïc,14,la Font de la Guatlla,2025,12,desembre,1
000,INCENDIS,03,Sants-Montjuïc,15,Hostafrancs,2025,1,gener,2
000,INCENDIS,03,Sants-Montjuïc,15,Hostafrancs,2025,2,febrer,5
000,INCENDIS,03,Sants-Montjuïc,15,Hostafrancs,2025,3,març,5
000,INCENDIS,03,Sants-Montjuïc,15,Hostafrancs,2025,4,abril,3
000,INCENDIS,03,Sants-Montjuïc,15,Hostafrancs,2025,5,maig,2
000,INCENDIS,03,Sants-Montjuïc,15,Hostafrancs,2025,6,juny,6
000,INCENDIS,03,Sants-Montjuïc,15,Hostafrancs,2025,7,juliol,6
000,INCENDIS,03,Sants-Montjuïc,15,Hostafrancs,2025,8,agost,5
000,INCENDIS,03,Sants-Montjuïc,15,Hostafrancs,2025,9,setembre,5
000,INCENDIS,03,Sants-Montjuïc,15,Hostafrancs,2025,10,octubre,5
000,INCENDIS,03,Sants-Montjuïc,15,Hostafrancs,2025,11,novembre,3
000,INCENDIS,03,Sants-Montjuïc,15,Hostafrancs,2025,12,desembre,5
000,INCENDIS,03,Sants-Montjuïc,16,la Bordeta,2025,1,gener,5
000,INCENDIS,03,Sants-Montjuïc,16,la Bordeta,2025,2,febrer,1
000,INCENDIS,03,Sants-Montjuïc,16,la Bordeta,2025,3,març,1
000,INCENDIS,03,Sants-Montjuïc,16,la Bordeta,2025,4,abril,5
000,INCENDIS,03,Sants-Montjuïc,16,la Bordeta,2025,5,maig,5
000,INCENDIS,03,Sants-Montjuïc,16,la Bordeta,2025,6,juny,6
000,INCENDIS,03,Sants-Montjuïc,16,la Bordeta,2025,8,agost,5
000,INCENDIS,03,Sants-Montjuïc,16,la Bordeta,2025,9,setembre,2
000,INCENDIS,03,Sants-Montjuïc,16,la Bordeta,2025,10,octubre,12
000,INCENDIS,03,Sants-Montjuïc,16,la Bordeta,2025,11,novembre,2
000,INCENDIS,03,Sants-Montjuïc,16,la Bordeta,2025,12,desembre,6
000,INCENDIS,03,Sants-Montjuïc,17,Sants - Badal,2025,1,gener,5
000,INCENDIS,03,Sants-Montjuïc,17,Sants - Badal,2025,2,febrer,1
000,INCENDIS,03,Sants-Montjuïc,17,Sants - Badal,2025,3,març,4
000,INCENDIS,03,Sants-Montjuïc,17,Sants - Badal,2025,4,abril,2
000,INCENDIS,03,Sants-Montjuïc,17,Sants - Badal,2025,5,maig,6
000,INCENDIS,03,Sants-Montjuïc,17,Sants - Badal,2025,6,juny,6
000,INCENDIS,03,Sants-Montjuïc,17,Sants - Badal,2025,7,juliol,6
000,INCENDIS,03,Sants-Montjuïc,17,Sants - Badal,2025,8,agost,5
000,INCENDIS,03,Sants-Montjuïc,17,Sants - Badal,2025,9,setembre,9
000,INCENDIS,03,Sants-Montjuïc,17,Sants - Badal,2025,10,octubre,12
000,INCENDIS,03,Sants-Montjuïc,17,Sants - Badal,2025,11,novembre,3
000,INCENDIS,03,Sants-Montjuïc,17,Sants - Badal,2025,12,desembre,1
000,INCENDIS,03,Sants-Montjuïc,18,Sants,2025,1,gener,12
000,INCENDIS,03,Sants-Montjuïc,18,Sants,2025,2,febrer,11
000,INCENDIS,03,Sants-Montjuïc,18,Sants,2025,3,març,8
000,INCENDIS,03,Sants-Montjuïc,18,Sants,2025,4,abril,10
