Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_CONTINENT,SEXE
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,16,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,41,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,74,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,68,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,140,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,153,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,448,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,479,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,26,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,73,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,75,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,81,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,121,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,157,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,413,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,397,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,999,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,90,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,162,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,267,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,144,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,338,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,458,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,1087,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,1161,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,999,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,49,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,97,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,149,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,140,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,270,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,368,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,967,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,1045,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,999,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,59,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,99,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,91,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,129,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,150,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,282,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,832,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,799,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,999,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,39,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,92,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,73,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,94,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,161,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,267,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,541,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,533,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,999,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,38,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,86,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,66,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,97,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,225,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,425,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,517,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,625,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,..,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,48,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,150,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,107,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,145,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,459,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,721,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,803,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,926,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,..,5,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,..,5,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,..,999,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,37,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,82,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,140,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,133,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,255,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,353,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,655,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,712,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,35,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,86,1,2
