Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_DOMICILI
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,56.6203503373976,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,37.0965147511,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,36.1867760490535,3
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,56.7477344667467,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,35.857161142996,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,36.6492486847772,3
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,55.0935286270774,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,36.2848572649502,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,35.3570548359685,3
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,51.8859577597583,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,35.8037251988239,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,36.4193992250885,3
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,54.3034747239079,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,36.5863325268187,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,35.8091211838476,3
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,55.2203813251818,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,37.7030124378913,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,35.9568581992575,3
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,52.0700474805007,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,36.3119605781996,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,34.8614255619279,3
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,58.899621753165,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,36.3208870400334,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,34.0803288926184,3
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,55.9319372473796,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,35.7896845884814,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,34.5590855678563,3
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,52.4166055898227,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,34.5937287829533,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,34.9789360030829,3
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,51.5306041371094,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,36.7175358068416,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,35.2800538466522,3
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,54.4940470267181,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,35.0774774462151,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,37.2787982057239,3
2025-01-01,1,Ciutat Vella,1,el Raval,5,1013,57.9750091927424,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1013,35.9929611479438,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,1013,36.7715109311453,3
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,56.7501614981562,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,35.9287606392427,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,38.8175657840989,3
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,55.1828995364198,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,35.209981890693,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,36.657602691949,3
2025-01-01,1,Ciutat Vella,1,el Raval,6,1016,51.9294131157361,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1016,37.6379439685611,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1016,38.2143705094919,3
2025-01-01,1,Ciutat Vella,1,el Raval,6,1017,53.99074507174,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1017,36.1082894413243,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1017,37.4128282610962,3
2025-01-01,1,Ciutat Vella,1,el Raval,7,1018,56.6511543195195,1
2025-01-01,1,Ciutat Vella,1,el Raval,7,1018,38.0382076463845,2
2025-01-01,1,Ciutat Vella,1,el Raval,7,1018,37.0884328365052,3
2025-01-01,1,Ciutat Vella,1,el Raval,7,1019,55.6543518683508,1
2025-01-01,1,Ciutat Vella,1,el Raval,7,1019,35.9595815819068,2
2025-01-01,1,Ciutat Vella,1,el Raval,7,1019,35.881449537002,3
2025-01-01,1,Ciutat Vella,1,el Raval,7,1020,58.0464462183329,1
2025-01-01,1,Ciutat Vella,1,el Raval,7,1020,36.898278345022,2
2025-01-01,1,Ciutat Vella,1,el Raval,7,1020,38.7668249779051,3
2025-01-01,1,Ciutat Vella,1,el Raval,8,1021,53.7404217878461,1
2025-01-01,1,Ciutat Vella,1,el Raval,8,1021,35.9243874502917,2
2025-01-01,1,Ciutat Vella,1,el Raval,8,1021,39.1746885028604,3
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,56.28854378068,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,34.1247059962171,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,40.1769554006742,3
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,54.7930594268282,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,35.5661083265439,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,35.4225999726672,3
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,55.5496633300967,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,35.6112550849776,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,36.8863261164229,3
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,55.5186134466418,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,36.5343765955904,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,38.7263878513008,3
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,54.2984405007399,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,38.1289734473177,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,37.220576058454,3
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,54.5221179293624,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,35.4205649905569,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,37.3815334790056,3
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,53.223495292313,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,35.3023215718872,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,38.1508825056559,3
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,55.456789681103,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,35.8779890971415,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,37.4139273230359,3
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,54.255663825255,1
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,37.6090484464753,2
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,36.2385150945154,3
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,57.5941640212859,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,37.0226891710048,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,39.6218711345594,3
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,53.7349251756828,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,37.4660679780472,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,36.0017282600548,3
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,57.1034803123051,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,36.1709449996995,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,37.3264044652734,3
2025-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,55.0726918543244,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,36.6958988723808,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,35.9997428082571,3
2025-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,56.0146992975469,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,36.1999181368106,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,38.6938116672694,3
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,57.8892107186759,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,36.4622567219958,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,39.6785706571215,3
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,53.4288395072344,1
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,36.4664666769871,2
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,37.4611410813282,3
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,55.463463022038,1
