Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NIV_EDUCA_esta,LLOC_NAIX
2023-01-01,1,Ciutat Vella,1,el Raval,109,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,22,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,204,1,3
2023-01-01,1,Ciutat Vella,1,el Raval,..,1,4
2023-01-01,1,Ciutat Vella,1,el Raval,70,1,5
2023-01-01,1,Ciutat Vella,1,el Raval,1350,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,214,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,1165,2,3
2023-01-01,1,Ciutat Vella,1,el Raval,167,2,4
2023-01-01,1,Ciutat Vella,1,el Raval,6103,2,5
2023-01-01,1,Ciutat Vella,1,el Raval,..,2,6
2023-01-01,1,Ciutat Vella,1,el Raval,2356,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,294,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,633,3,3
2023-01-01,1,Ciutat Vella,1,el Raval,366,3,4
2023-01-01,1,Ciutat Vella,1,el Raval,6613,3,5
2023-01-01,1,Ciutat Vella,1,el Raval,..,3,6
2023-01-01,1,Ciutat Vella,1,el Raval,1634,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,313,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,619,4,3
2023-01-01,1,Ciutat Vella,1,el Raval,805,4,4
2023-01-01,1,Ciutat Vella,1,el Raval,4671,4,5
2023-01-01,1,Ciutat Vella,1,el Raval,..,4,6
2023-01-01,1,Ciutat Vella,1,el Raval,1328,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,646,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,1139,5,3
2023-01-01,1,Ciutat Vella,1,el Raval,2094,5,4
2023-01-01,1,Ciutat Vella,1,el Raval,5839,5,5
2023-01-01,1,Ciutat Vella,1,el Raval,23,5,6
2023-01-01,1,Ciutat Vella,1,el Raval,395,6,1
2023-01-01,1,Ciutat Vella,1,el Raval,36,6,2
2023-01-01,1,Ciutat Vella,1,el Raval,16,6,3
2023-01-01,1,Ciutat Vella,1,el Raval,10,6,4
2023-01-01,1,Ciutat Vella,1,el Raval,173,6,5
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,27,1,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,5,1,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,72,1,3
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,6,1,4
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,68,1,5
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,424,2,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,91,2,2
