Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,1321
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,1528
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,3340
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,2785
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,2460
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,1560
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,2044
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,3414
2015-01-01,1,Ciutat Vella,1,el Raval,4,1009,2175
2015-01-01,1,Ciutat Vella,1,el Raval,4,1010,2359
2015-01-01,1,Ciutat Vella,1,el Raval,5,1011,3378
2015-01-01,1,Ciutat Vella,1,el Raval,5,1012,1883
2015-01-01,1,Ciutat Vella,1,el Raval,5,1013,1356
2015-01-01,1,Ciutat Vella,1,el Raval,6,1014,1986
2015-01-01,1,Ciutat Vella,1,el Raval,6,1015,2303
2015-01-01,1,Ciutat Vella,1,el Raval,6,1016,2173
2015-01-01,1,Ciutat Vella,1,el Raval,6,1017,2677
2015-01-01,1,Ciutat Vella,1,el Raval,7,1018,1562
2015-01-01,1,Ciutat Vella,1,el Raval,7,1019,2785
2015-01-01,1,Ciutat Vella,1,el Raval,7,1020,2069
2015-01-01,1,Ciutat Vella,1,el Raval,8,1021,1992
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,1184
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,1949
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,1282
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,2124
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,1623
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,1938
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,1365
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,2402
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,1647
2015-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,1806
2015-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,1094
2015-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,1030
2015-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,1328
2015-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,1183
2015-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,1464
2015-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,1492
2015-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,1299
2015-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,1101
2015-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,1467
2015-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,1773
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,1290
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,1480
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,2016
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,1711
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,1828
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,2218
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,1453
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,1620
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,1809
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,2409
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,2004
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,1337
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,1293
2015-01-01,2,Eixample,5,el Fort Pienc,20,2001,1290
2015-01-01,2,Eixample,5,el Fort Pienc,20,2002,2202
2015-01-01,2,Eixample,5,el Fort Pienc,20,2003,1278
2015-01-01,2,Eixample,5,el Fort Pienc,20,2004,1492
2015-01-01,2,Eixample,5,el Fort Pienc,20,2005,2108
2015-01-01,2,Eixample,5,el Fort Pienc,20,2006,1612
2015-01-01,2,Eixample,5,el Fort Pienc,20,2007,1225
2015-01-01,2,Eixample,5,el Fort Pienc,20,2008,1875
2015-01-01,2,Eixample,5,el Fort Pienc,20,2009,1752
2015-01-01,2,Eixample,5,el Fort Pienc,21,2010,1167
2015-01-01,2,Eixample,5,el Fort Pienc,21,2011,1084
2015-01-01,2,Eixample,5,el Fort Pienc,21,2012,1558
2015-01-01,2,Eixample,5,el Fort Pienc,21,2013,1127
2015-01-01,2,Eixample,5,el Fort Pienc,22,2014,1317
2015-01-01,2,Eixample,5,el Fort Pienc,22,2015,1559
2015-01-01,2,Eixample,5,el Fort Pienc,22,2016,1811
2015-01-01,2,Eixample,5,el Fort Pienc,22,2017,1926
2015-01-01,2,Eixample,5,el Fort Pienc,22,2018,1833
2015-01-01,2,Eixample,5,el Fort Pienc,22,2019,1939
2015-01-01,2,Eixample,5,el Fort Pienc,22,2020,1393
2015-01-01,2,Eixample,6,la Sagrada Família,23,2021,1432
2015-01-01,2,Eixample,6,la Sagrada Família,23,2022,1261
2015-01-01,2,Eixample,6,la Sagrada Família,23,2023,1094
2015-01-01,2,Eixample,6,la Sagrada Família,23,2024,1129
2015-01-01,2,Eixample,6,la Sagrada Família,24,2025,1179
2015-01-01,2,Eixample,6,la Sagrada Família,24,2026,2157
2015-01-01,2,Eixample,6,la Sagrada Família,24,2027,2008
2015-01-01,2,Eixample,6,la Sagrada Família,24,2028,2070
2015-01-01,2,Eixample,6,la Sagrada Família,24,2029,1145
2015-01-01,2,Eixample,6,la Sagrada Família,24,2030,1219
2015-01-01,2,Eixample,6,la Sagrada Família,24,2031,1085
2015-01-01,2,Eixample,6,la Sagrada Família,24,2032,1185
2015-01-01,2,Eixample,6,la Sagrada Família,25,2033,1183
2015-01-01,2,Eixample,6,la Sagrada Família,25,2034,1171
2015-01-01,2,Eixample,6,la Sagrada Família,25,2035,1265
2015-01-01,2,Eixample,6,la Sagrada Família,25,2036,1227
2015-01-01,2,Eixample,6,la Sagrada Família,25,2037,1215
2015-01-01,2,Eixample,6,la Sagrada Família,25,2038,1596
2015-01-01,2,Eixample,6,la Sagrada Família,25,2039,1726
2015-01-01,2,Eixample,6,la Sagrada Família,25,2040,1649
2015-01-01,2,Eixample,6,la Sagrada Família,26,2041,1582
2015-01-01,2,Eixample,6,la Sagrada Família,26,2042,1661
2015-01-01,2,Eixample,6,la Sagrada Família,26,2043,1447
2015-01-01,2,Eixample,6,la Sagrada Família,26,2044,1274
2015-01-01,2,Eixample,6,la Sagrada Família,26,2045,1181
2015-01-01,2,Eixample,6,la Sagrada Família,26,2046,1880
2015-01-01,2,Eixample,6,la Sagrada Família,26,2047,1878
2015-01-01,2,Eixample,6,la Sagrada Família,26,2048,1224
2015-01-01,2,Eixample,6,la Sagrada Família,27,2049,2044
2015-01-01,2,Eixample,6,la Sagrada Família,27,2050,1559
2015-01-01,2,Eixample,6,la Sagrada Família,27,2051,1900
2015-01-01,2,Eixample,6,la Sagrada Família,27,2052,1816
2015-01-01,2,Eixample,6,la Sagrada Família,27,2053,1805
2015-01-01,2,Eixample,6,la Sagrada Família,27,2054,1847
2015-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2055,1858
2015-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2056,1504
2015-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2057,1241
2015-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2058,1397
