Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NACIONALITAT_REGIO,SEXE
2023-01-01,1,Ciutat Vella,1,el Raval,23,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,9,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,13,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,17,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,604,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,1104,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,7,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,68,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,148,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,119,6,1
2023-01-01,1,Ciutat Vella,1,el Raval,169,6,2
2023-01-01,1,Ciutat Vella,1,el Raval,246,7,1
2023-01-01,1,Ciutat Vella,1,el Raval,224,7,2
2023-01-01,1,Ciutat Vella,1,el Raval,1468,8,1
2023-01-01,1,Ciutat Vella,1,el Raval,1420,8,2
2023-01-01,1,Ciutat Vella,1,el Raval,140,9,1
2023-01-01,1,Ciutat Vella,1,el Raval,157,9,2
2023-01-01,1,Ciutat Vella,1,el Raval,12,10,1
2023-01-01,1,Ciutat Vella,1,el Raval,19,10,2
2023-01-01,1,Ciutat Vella,1,el Raval,210,11,1
2023-01-01,1,Ciutat Vella,1,el Raval,164,11,2
2023-01-01,1,Ciutat Vella,1,el Raval,2608,12,1
2023-01-01,1,Ciutat Vella,1,el Raval,4461,12,2
2023-01-01,1,Ciutat Vella,1,el Raval,2040,13,1
2023-01-01,1,Ciutat Vella,1,el Raval,1638,13,2
2023-01-01,1,Ciutat Vella,1,el Raval,193,14,1
2023-01-01,1,Ciutat Vella,1,el Raval,248,14,2
2023-01-01,1,Ciutat Vella,1,el Raval,598,15,1
2023-01-01,1,Ciutat Vella,1,el Raval,391,15,2
2023-01-01,1,Ciutat Vella,1,el Raval,392,16,1
2023-01-01,1,Ciutat Vella,1,el Raval,471,16,2
2023-01-01,1,Ciutat Vella,1,el Raval,12111,17,1
2023-01-01,1,Ciutat Vella,1,el Raval,12511,17,2
2023-01-01,1,Ciutat Vella,1,el Raval,757,18,1
2023-01-01,1,Ciutat Vella,1,el Raval,869,18,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,19,1
2023-01-01,1,Ciutat Vella,1,el Raval,9,19,2
2023-01-01,1,Ciutat Vella,1,el Raval,..,20,2
2023-01-01,1,Ciutat Vella,1,el Raval,14,23,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,23,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,1,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,5,1,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,2,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,7,2,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,337,3,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,1358,3,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,4,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,4,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,47,5,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,256,5,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,67,6,1
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,68,6,2
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,278,7,1
