Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_G,SEXE
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,349,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,375,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,69,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,74,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,260,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,292,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,285,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,268,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,95,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,97,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,255,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,344,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,922,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,1019,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,137,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,122,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,725,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,784,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,4,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,772,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,802,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,157,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,196,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,507,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,656,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,646,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,611,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,136,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,145,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,351,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,553,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,380,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,389,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,132,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,119,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,303,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,478,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,4,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,397,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,506,1,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,101,2,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,106,2,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,350,3,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,621,3,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,670,1,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,765,1,2
