Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Index_Gini
2023,1,Ciutat Vella,1,el Raval,1,34.2
2023,1,Ciutat Vella,1,el Raval,2,34.7
2023,1,Ciutat Vella,1,el Raval,3,35.9
2023,1,Ciutat Vella,1,el Raval,4,35.9
2023,1,Ciutat Vella,1,el Raval,5,36.2
2023,1,Ciutat Vella,1,el Raval,6,38.3
2023,1,Ciutat Vella,1,el Raval,7,35.2
2023,1,Ciutat Vella,1,el Raval,8,33.3
2023,1,Ciutat Vella,1,el Raval,9,34.7
2023,1,Ciutat Vella,1,el Raval,10,34.2
2023,1,Ciutat Vella,1,el Raval,11,33.1
2023,1,Ciutat Vella,1,el Raval,12,32.9
2023,1,Ciutat Vella,1,el Raval,13,32.5
2023,1,Ciutat Vella,1,el Raval,14,28.9
2023,1,Ciutat Vella,1,el Raval,15,31.9
2023,1,Ciutat Vella,1,el Raval,16,29
2023,1,Ciutat Vella,1,el Raval,17,29.5
2023,1,Ciutat Vella,1,el Raval,18,32.3
2023,1,Ciutat Vella,1,el Raval,19,35.6
2023,1,Ciutat Vella,1,el Raval,20,34.5
2023,1,Ciutat Vella,1,el Raval,21,36.9
2023,1,Ciutat Vella,2,el Barri Gòtic,22,42.2
2023,1,Ciutat Vella,2,el Barri Gòtic,23,36.2
2023,1,Ciutat Vella,2,el Barri Gòtic,25,36.8
2023,1,Ciutat Vella,2,el Barri Gòtic,26,38.9
2023,1,Ciutat Vella,2,el Barri Gòtic,27,41.8
2023,1,Ciutat Vella,2,el Barri Gòtic,28,37.1
2023,1,Ciutat Vella,2,el Barri Gòtic,29,40.8
2023,1,Ciutat Vella,2,el Barri Gòtic,30,37.5
2023,1,Ciutat Vella,2,el Barri Gòtic,31,42.1
2023,1,Ciutat Vella,3,la Barceloneta,32,35
2023,1,Ciutat Vella,3,la Barceloneta,33,32.5
2023,1,Ciutat Vella,3,la Barceloneta,34,35.2
2023,1,Ciutat Vella,3,la Barceloneta,35,33.2
2023,1,Ciutat Vella,3,la Barceloneta,36,31.4
2023,1,Ciutat Vella,3,la Barceloneta,37,30.6
2023,1,Ciutat Vella,3,la Barceloneta,38,34.3
2023,1,Ciutat Vella,3,la Barceloneta,39,29.2
2023,1,Ciutat Vella,3,la Barceloneta,40,36
2023,1,Ciutat Vella,3,la Barceloneta,41,33.8
2023,1,Ciutat Vella,3,la Barceloneta,42,29.7
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,36.6
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,38.9
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,37
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,34.8
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,38
