Territori,Tipus de territori,Temps,Activitats immobiliàries,Ensenyament,Equipaments culturals i recreatius,Finances i assegurances,"Manteniment, neteja i producció",Reparacions (Electrodomèstics i automòbils),"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",Sanitat i assistència
el Raval,Barri,31 Des. 2014,12,68,41,53,26,7,544,7
el Raval,Barri,31 Des. 2016,12,54,66,40,-,11,469,8
el Raval,Barri,31 Des. 2019,10,52,62,36,-,9,540,14
el Raval,Barri,31 Des. 2022,8,44,59,26,-,10,500,8
el Raval,Barri,31 Des. 2024,6,49,55,27,-,10,537,14
el Barri Gòtic,Barri,31 Des. 2014,1,33,41,40,3,2,517,4
el Barri Gòtic,Barri,31 Des. 2016,1,16,46,33,-,2,458,4
el Barri Gòtic,Barri,31 Des. 2019,3,17,63,30,-,-,513,4
el Barri Gòtic,Barri,31 Des. 2022,2,19,56,23,-,2,440,6
el Barri Gòtic,Barri,31 Des. 2024,2,25,57,24,-,-,450,8
la Barceloneta,Barri,31 Des. 2014,13,25,6,12,4,2,218,8
la Barceloneta,Barri,31 Des. 2016,9,15,10,8,-,5,193,8
la Barceloneta,Barri,31 Des. 2019,10,17,9,7,-,5,200,14
la Barceloneta,Barri,31 Des. 2022,7,15,9,7,-,5,177,15
la Barceloneta,Barri,31 Des. 2024,9,16,9,5,-,5,190,16
"Sant Pere, Santa Caterina i la Ribera",Barri,31 Des. 2014,9,54,17,31,19,3,374,8
"Sant Pere, Santa Caterina i la Ribera",Barri,31 Des. 2016,11,35,48,22,-,4,333,11
"Sant Pere, Santa Caterina i la Ribera",Barri,31 Des. 2019,17,39,56,17,-,2,394,12
"Sant Pere, Santa Caterina i la Ribera",Barri,31 Des. 2022,14,39,58,20,-,2,387,13
"Sant Pere, Santa Caterina i la Ribera",Barri,31 Des. 2024,13,46,68,18,1,2,403,17
el Fort Pienc,Barri,31 Des. 2014,10,28,2,18,16,39,174,16
el Fort Pienc,Barri,31 Des. 2016,18,28,22,21,2,36,181,23
el Fort Pienc,Barri,31 Des. 2019,14,29,22,16,1,33,209,23
el Fort Pienc,Barri,31 Des. 2022,12,28,22,13,3,30,200,23
el Fort Pienc,Barri,31 Des. 2024,17,35,23,10,4,31,199,30
la Sagrada Família,Barri,31 Des. 2014,33,45,9,66,28,57,357,36
la Sagrada Família,Barri,31 Des. 2016,39,41,23,57,8,57,369,55
la Sagrada Família,Barri,31 Des. 2019,43,43,17,52,8,48,393,58
la Sagrada Família,Barri,31 Des. 2022,38,45,15,53,6,38,396,58
la Sagrada Família,Barri,31 Des. 2024,39,42,14,48,2,38,389,64
la Dreta de l'Eixample,Barri,31 Des. 2014,28,110,36,150,26,36,752,64
la Dreta de l'Eixample,Barri,31 Des. 2016,52,93,105,139,14,46,831,112
la Dreta de l'Eixample,Barri,31 Des. 2019,64,97,79,110,15,43,921,105
la Dreta de l'Eixample,Barri,31 Des. 2022,52,82,62,103,15,40,912,105
la Dreta de l'Eixample,Barri,31 Des. 2024,43,89,68,88,12,40,893,121
l'Antiga Esquerra de l'Eixample,Barri,31 Des. 2014,30,55,12,68,23,36,678,63
l'Antiga Esquerra de l'Eixample,Barri,31 Des. 2016,57,52,112,71,8,53,642,97
l'Antiga Esquerra de l'Eixample,Barri,31 Des. 2019,53,45,71,60,6,46,731,99
l'Antiga Esquerra de l'Eixample,Barri,31 Des. 2022,36,42,55,47,4,48,708,109
l'Antiga Esquerra de l'Eixample,Barri,31 Des. 2024,36,43,46,44,4,44,735,117
la Nova Esquerra de l'Eixample,Barri,31 Des. 2014,28,80,8,63,30,53,407,54
la Nova Esquerra de l'Eixample,Barri,31 Des. 2016,33,63,35,52,20,67,397,74
la Nova Esquerra de l'Eixample,Barri,31 Des. 2019,35,68,31,41,12,70,443,90
la Nova Esquerra de l'Eixample,Barri,31 Des. 2022,37,73,25,26,11,68,406,98
la Nova Esquerra de l'Eixample,Barri,31 Des. 2024,43,77,21,28,7,65,408,100
Sant Antoni,Barri,31 Des. 2014,16,52,5,45,35,28,354,28
Sant Antoni,Barri,31 Des. 2016,26,43,33,37,6,43,371,38
Sant Antoni,Barri,31 Des. 2019,36,44,28,33,12,33,417,47
Sant Antoni,Barri,31 Des. 2022,26,46,24,32,8,32,405,51
Sant Antoni,Barri,31 Des. 2024,28,45,21,28,5,32,396,59
el Poble-sec,Barri,31 Des. 2014,9,48,17,23,12,39,322,21
el Poble-sec,Barri,31 Des. 2016,12,27,55,18,7,42,274,11
el Poble-sec,Barri,31 Des. 2019,14,33,54,18,6,37,296,18
el Poble-sec,Barri,31 Des. 2022,14,32,58,18,6,32,279,17
el Poble-sec,Barri,31 Des. 2024,8,43,55,13,7,30,290,24
la Marina del Prat Vermell,Barri,31 Des. 2014,-,14,-,-,1,-,7,-
la Marina del Prat Vermell,Barri,31 Des. 2016,-,2,-,1,3,14,17,-
la Marina del Prat Vermell,Barri,31 Des. 2019,-,2,-,1,2,21,12,-
la Marina del Prat Vermell,Barri,31 Des. 2022,1,3,-,1,3,18,11,-
la Marina del Prat Vermell,Barri,31 Des. 2024,1,3,-,1,1,16,11,-
la Marina de Port,Barri,31 Des. 2014,4,23,-,17,5,9,93,27
la Marina de Port,Barri,31 Des. 2016,6,13,13,18,7,12,103,22
la Marina de Port,Barri,31 Des. 2019,7,18,11,14,5,11,98,24
la Marina de Port,Barri,31 Des. 2022,8,19,15,12,4,7,105,30
la Marina de Port,Barri,31 Des. 2024,8,23,15,11,4,7,108,26
la Font de la Guatlla,Barri,31 Des. 2014,1,14,2,5,1,7,34,11
la Font de la Guatlla,Barri,31 Des. 2016,1,11,2,5,-,6,37,5
la Font de la Guatlla,Barri,31 Des. 2019,1,11,2,1,1,7,34,4
la Font de la Guatlla,Barri,31 Des. 2022,1,10,2,2,2,6,34,4
la Font de la Guatlla,Barri,31 Des. 2024,1,11,2,1,-,7,35,5
Hostafrancs,Barri,31 Des. 2014,4,14,4,18,1,10,91,11
Hostafrancs,Barri,31 Des. 2016,9,16,12,18,4,18,153,25
Hostafrancs,Barri,31 Des. 2019,12,20,10,15,5,12,159,25
Hostafrancs,Barri,31 Des. 2022,10,19,8,12,4,12,152,28
Hostafrancs,Barri,31 Des. 2024,12,22,7,12,4,12,155,29
la Bordeta,Barri,31 Des. 2014,5,30,1,6,5,19,58,8
la Bordeta,Barri,31 Des. 2016,4,19,3,12,4,16,61,10
la Bordeta,Barri,31 Des. 2019,5,27,11,13,3,17,62,11
la Bordeta,Barri,31 Des. 2022,3,24,11,9,3,17,65,11
la Bordeta,Barri,31 Des. 2024,3,24,9,9,4,17,63,13
Sants - Badal,Barri,31 Des. 2014,7,15,-,9,6,26,56,13
Sants - Badal,Barri,31 Des. 2016,15,9,9,22,8,35,99,13
Sants - Badal,Barri,31 Des. 2019,15,11,6,20,6,27,109,23
Sants - Badal,Barri,31 Des. 2022,13,15,5,18,3,17,105,25
Sants - Badal,Barri,31 Des. 2024,12,19,4,14,4,17,99,29
Sants,Barri,31 Des. 2014,19,54,6,32,18,23,195,24
Sants,Barri,31 Des. 2016,32,50,27,43,11,51,263,47
Sants,Barri,31 Des. 2019,33,59,19,33,11,45,273,56
Sants,Barri,31 Des. 2022,28,56,23,25,8,34,266,55
Sants,Barri,31 Des. 2024,27,66,24,24,9,34,278,64
les Corts,Barri,31 Des. 2014,18,68,2,63,33,35,326,79
les Corts,Barri,31 Des. 2016,27,66,37,79,10,33,354,86
les Corts,Barri,31 Des. 2019,36,74,26,73,8,36,345,104
les Corts,Barri,31 Des. 2022,34,66,22,61,7,36,340,109
